#SampleID	shannon_entropy
11369.p07.2A	3.3903822295183823
11369.p02.2A	4.507282850685046
11369.m04.07A	5.313084092534219
11369.p04.3B	1.3883832402047653
11369.p14.2A	4.939919308318933
11369.p10.1A	2.184831478606463
11369.m03.09B	3.3299588406656597
11369.m03.14A	2.4764307180064744
11369.p05.1A	3.6946828572879684
11369.m04.13A	5.098072958990153
11369.p12.1B	3.1624500623749316
11369.p07.2B	3.79329259652475
11369.p10.1B	2.238475156108626
11369.p02.2B	4.583342385027915
11369.m04.07B	5.397623593807093
11369.p14.2B	5.08044349703607
11369.p16.2B	4.511737636929657
11369.p07.3A	3.9650968566630227
11369.m03.14B	1.9083095552784632
11369.p12.2A	0.671845706121525
11369.p02.3A	4.49222560129269
11369.p10.2A	2.3819884525933346
11369.m04.13B	5.086619977575876
11369.p14.3B	4.90755428250019
11369.p16.3A	4.570104673036551
11369.p07.3B	4.004642828233464
11369.m04.08B	5.549407199341471
11369.p02.3B	4.283407424118805
11369.m03.15A	2.8476500589112637
11369.p12.2B	0.4943509510536651
11369.p10.2B	2.5187291668961875
11369.p05.2B	3.7956802743649183
11369.m04.14A	3.3364096832890575
11369.p15.1A	3.9167710782582166
11369.p16.3B	4.611928924275002
11369.p03.1A	3.628559576723975
11369.p08.1A	1.3041733473124528
11369.p10.3A	2.8212757642218427
11369.p05.3A	4.619692742161164
11369.p12.3A	2.7245655991572266
11369.m03.15B	2.939095171545825
11369.m04.09B	5.167376869510655
11369.m04.14B	3.6558062221080156
11369.p03.1B	3.4018301043635533
11369.p15.1B	3.8964203985772903
11369.p17.1A	3.585814844680019
11369.p10.3B	2.793986247304563
11369.p08.1B	1.309317510690981
11369.p12.3B	2.478934727614038
11369.p03.2A	3.195816521267274
11369.p19.1A	1.433717698731883
11369.m04.15A	5.077298701011671
11369.m04.01A	5.3726936647514485
11369.p06.1A	2.7526848130110704
11369.p11.1A	4.028913628246021
11369.p17.1B	3.520036537328066
11369.p08.2A	2.7304836538341166
11369.p15.2A	0.7080689844553979
11369.p03.2B	3.0041936351484395
11369.p13.1A	3.491513965294389
11369.p06.1B	2.7944596921366966
11369.m04.15B	5.286315562394487
11369.p19.1B	1.3794890230800674
11369.p11.1B	4.145786294713792
11369.p17.2A	3.3667915648314626
11369.p08.2B	2.7971752129496257
11369.p03.3A	4.173145176845162
11369.m04.01B	5.067523578656133
11369.p06.2A	3.1405460866686976
11369.p19.2A	1.4091722842320284
11369.p13.1B	3.4115643430114595
11369.p11.2A	3.8936731292853857
11369.p15.2B	0.5107216118914382
11369.p01.1A	1.4646596244049215
11369.p03.3B	4.06533368315557
11369.p08.3A	3.540171809865035
11369.p17.2B	3.058089655172148
11369.p21.2B	3.5815522257014294
11369.p24.1A	3.3208511679334842
11369.p15.3A	1.6063983225632092
11369.m04.02A	5.06641277220477
11369.p19.2B	1.359018600089048
11369.p13.2A	4.382386430009989
11369.p08.3B	3.5393894774868793
11369.p01.1B	1.6153822272585594
11369.p17.3A	3.7054353361512695
11369.p21.3A	3.2728802704153903
11369.p15.3B	1.640846666838032
11369.p26.2B	0.6522564482464347
11369.p24.1B	3.4836936726129855
11369.p19.3A	1.4495816122720242
11369.p31.2B	4.939295667896807
11369.p17.3B	3.868342767826497
11369.p01.2A	2.4492667118020974
11369.p13.2B	4.5093701196184
11369.p21.3B	2.742604921443006
11369.p24.2A	2.6471566260577064
